Timestamp,eigenvector,pagerank,clustering,triangles,degree,degree_centrality,average_neighbor_degree,node_clique_number,number_of_cliques,nb_of_nodes,nb_of_edges,diameter,assortativity,percolation_limit,Evento,Label,Colector
2,0.0015134537524020002,2.9144322685940794e-05,0.05468802967536401,1.00480881324318,2.955176031709023,8.612911403657787e-05,223.69636970703996,2.17489508043833,2.9263814408953133,34312,50699,15,-0.087260779535969,0.994334150669639,Spark_NZ_Normal,0,rrc06
3,0.001519876047951,2.9141774734081295e-05,0.055019913318419,1.009704210986449,2.954742823837971,8.610895913731923e-05,230.69587082258994,2.175754043421244,2.92638787702171,34315,50696,15,-0.086154426787346,0.994472762415133,Spark_NZ_Normal,0,rrc06
4,0.001519310762631,2.9138378157871754e-05,0.05473622139112701,1.003875404294996,2.9536408403508263,8.606681159597958e-05,232.18662540014103,2.174655438678283,2.925726274075585,34319,50683,15,-0.08581736420181901,0.9944970954570391,Spark_NZ_Normal,0,rrc06
5,0.0015199104911790002,2.9124799767001612e-05,0.05483635967638201,0.9992718800058251,2.9543614387651083,8.604769146516891e-05,232.4635337348965,2.17454492500364,2.925615261395078,34335,50719,15,-0.08571213119619801,0.9945040721272401,Spark_NZ_Normal,0,rrc06
6,0.0015200081361700002,2.911716748194734e-05,0.054750142520239006,1.000465874679711,2.9544607500582343,8.602803337094122e-05,232.54154088058746,2.174761239226648,2.925168879571395,34344,50734,15,-0.08576252410780201,0.994505924697576,Spark_NZ_Normal,0,rrc06
7,0.001519342124468,2.911716748194734e-05,0.054897313582997,1.00672606568833,2.9541695783834143,8.601955502965421e-05,232.33741440032512,2.175518285581178,2.925139762403913,34344,50729,15,-0.08577592598571501,0.994503935456967,Spark_NZ_Normal,0,rrc06
8,0.0015200234568550001,2.9112929051791924e-05,0.055016699562256,1.000727823226294,2.954612943608256,8.601994129522116e-05,232.50541046788712,2.175376284607994,2.923840577600512,34349,50744,15,-0.08575259389947901,0.9945078958197271,Spark_NZ_Normal,0,rrc06
9,0.001519406419958,2.9099374363451182e-05,0.05523102176208101,1.011406954750473,2.954925069111014,8.598897302732553e-05,232.4609470918946,2.176022115524516,2.928648334060817,34365,50773,15,-0.085782045431555,0.9945069253333271,Spark_NZ_Normal,0,rrc06
10,0.0015193729890270002,2.9101068009195933e-05,0.05542993573208001,1.01408491691645,2.955155254197829,8.600067674168644e-05,232.4824912787094,2.1765270785437822,2.9274219363850653,34363,50774,15,-0.08577480319412101,0.9945058405336821,Spark_NZ_Normal,0,rrc06
11,0.0015192812061530002,2.9081602977956165e-05,0.05503990039749201,1.000668876868493,2.9548653521782122,8.59347201447786e-05,232.5864986099066,2.175536555574943,2.923748036991799,34386,50803,15,-0.085881416333994,0.9945088309645591,Spark_NZ_Normal,0,rrc06
